"","rptro_id","lat","long"
"146",1054729,-73.0488329173339,-39.5306243872892
"147",1131968,-72.3583384194933,-40.9043589454672
"148",1129829,-72.2379093334414,-39.1273390909955
"149",1181655,-72.279668746289,-45.2701893169052
"150",1100546,-73.0564522152222,-39.3484505291149
"151",1241604,-72.0169790968414,-39.4998756131568
"152",1307786,-72.1626593691485,-45.1567188350717
"153",1055937,-73.5325716832013,-42.4516276035906
"154",1060669,-73.3257028631096,-40.7404012594819
"155",1063540,-72.3415872062077,-39.8523681410887
"156",1064078,-72.4800855663976,-45.7780136887999
"157",1129878,-72.3439001755673,-40.8845539421062
"158",1092621,-73.334078084676,-40.5596467598869
"159",1131377,-72.4526811052938,-40.0516217984751
"160",1053721,-73.7372312917955,-41.9006183085199
"161",1131384,-72.4539313967354,-40.0501539404022
"162",1270989,-73.9044673184278,-41.9316793115282
"163",1206642,-72.9005763869737,-39.9935836639912
"164",1055624,-72.1619238344086,-39.5859790587681
"165",1129875,-72.3440642306885,-40.8863861470699
"166",1181377,-72.483933888333,-45.4284940699377
"167",1094182,-72.3440003599386,-40.8853128402831
"168",1181400,-73.536083700845,-42.1312236760966
"169",1245453,-72.0775393749072,-39.4565083433323
"170",1130607,-72.6032316681334,-39.9460322422343
"171",1245313,-72.1922064851591,-39.2318213626382
"172",1094178,-72.3450425856045,-40.8871472633145
"173",1174460,-72.4894651296734,-40.0512901564997
"174",1207138,-73.5965198517962,-42.3029769999861
"175",1212497,-73.3228080556517,-38.8115277348859
"176",1053663,-73.5525294268753,-40.5668339397737
"177",1051641,-73.7931379324986,-40.710428344527
"178",1059052,-72.7907510671958,-40.6681643964683
"179",1066643,-72.889355244002,-39.4115521634794
"180",1062685,-72.3693317604646,-40.0892583995915
"181",1026429,-72.4492297983384,-40.050749177373
"182",1181396,-73.5399818168393,-42.1311292550465
"183",1212697,-72.5576978514654,-40.9923153446304
"184",1212115,-72.2909817470963,-39.8731045096958
"185",1268448,-72.0169790968414,-39.4998756131568
"186",1131908,-72.3555526183054,-40.8997915518001
"187",1210679,-72.4471556685706,-45.6567407417817
"188",1136364,-72.5931327422809,-39.4608348101518
"189",1206611,-73.3264048209816,-38.5533060814671
"190",1211002,-72.4894651296734,-40.0512901564997
"191",1212034,-73.2686951361282,-38.7465993004633
"192",1054283,-73.4285874078879,-40.5871405790234
"193",1057659,-73.5663872765043,-40.5030732805075
"194",1060036,-71.9741713858033,-40.2284775153225
"195",1059543,-72.4186104478953,-39.3457572460332
"196",1270986,-73.9005306692423,-41.9214101793367
"197",1063706,-71.9947586706116,-39.5822235115816
"198",1212689,-72.5529025299335,-40.9946905390505
"199",1060156,-72.4197366581554,-39.3466831364119
"200",1129872,-72.3502939309787,-40.8831428937355
"201",1182170,-73.0044408213035,-39.6282443460867
"202",1182223,-72.9201972728687,-39.7512729506342
"203",1307836,-73.4433275682187,-42.2004930344353
"204",1307839,-73.4403273597718,-42.2003442008568
"205",1049887,-72.1656637004776,-39.6295806507979
"206",1088131,-72.4452042760748,-40.5866663883356
"207",1065202,-72.2941577344085,-39.4995004376376
"208",1131912,-72.352318353342,-40.9064725472181
"209",1094803,-72.8537993574499,-39.4854634216243
"210",1211267,-72.1021303476151,-40.4054538093101
"211",1268364,-72.7483073739451,-39.9049168066368
"212",1306494,-73.5184008848189,-42.0545969757572
"213",1091426,-73.255358012317,-37.7859635168893
"214",1129717,-72.5954734328119,-39.9139003379328
"215",1171518,-72.1691877314615,-40.1136678369795
"216",1208007,-72.8188171758926,-38.6914932557182
"217",1067867,-72.9862557911474,-39.9879695944837
"218",1065140,-72.464236189937,-40.588599278794
"219",1132801,-73.5913035247757,-41.3478583507258
"220",1206295,-71.9450543255986,-40.2413808037858
"221",1049189,-71.9385758913991,-39.590190060287
